%time(s);  Meter 1;   Meter 2;   none;,Col2,Col3,Col4
0.000000000000000000e+00,6.222999999999999865e+00,-5.762999999999999894e-03,0.000000000000000000e+00
1.241000000000000020e-01,6.222999999999999865e+00,-4.427000000000000379e-03,0.000000000000000000e+00
2.456000000000000127e-01,6.222999999999999865e+00,-3.983000000000000429e-03,0.000000000000000000e+00
3.695999999999999841e-01,6.222000000000000419e+00,-3.544999999999999974e-03,0.000000000000000000e+00
5.158000000000000362e-01,6.221000000000000085e+00,-3.491999999999999878e-03,0.000000000000000000e+00
6.370999999999999996e-01,6.219999999999999751e+00,-3.494999999999999843e-03,0.000000000000000000e+00
7.607000000000000428e-01,6.217999999999999972e+00,-3.539000000000000045e-03,0.000000000000000000e+00
9.758999999999999897e-01,6.214000000000000412e+00,-4.312999999999999994e-03,0.000000000000000000e+00
1.098999999999999977e+00,6.213000000000000078e+00,-4.422999999999999848e-03,0.000000000000000000e+00
1.221000000000000085e+00,6.211000000000000298e+00,-5.257000000000000388e-03,0.000000000000000000e+00
1.344000000000000083e+00,6.208000000000000185e+00,-5.725000000000000054e-03,0.000000000000000000e+00
1.467999999999999972e+00,6.206999999999999851e+00,-6.270999999999999665e-03,0.000000000000000000e+00
1.612999999999999989e+00,6.206000000000000405e+00,-6.701000000000000359e-03,0.000000000000000000e+00
1.737000000000000099e+00,6.206000000000000405e+00,-6.675999999999999643e-03,0.000000000000000000e+00
1.858999999999999986e+00,6.206000000000000405e+00,-7.085000000000000152e-03,0.000000000000000000e+00
2.076000000000000068e+00,6.206999999999999851e+00,-7.538999999999999695e-03,0.000000000000000000e+00
2.198999999999999844e+00,6.206999999999999851e+00,-7.545999999999999756e-03,0.000000000000000000e+00
2.322999999999999954e+00,6.206999999999999851e+00,-7.512999999999999713e-03,0.000000000000000000e+00
2.444999999999999840e+00,6.208000000000000185e+00,-7.920999999999999222e-03,0.000000000000000000e+00
2.567000000000000171e+00,6.208000000000000185e+00,-7.936000000000000346e-03,0.000000000000000000e+00
2.713000000000000078e+00,6.208999999999999631e+00,-7.875000000000000056e-03,0.000000000000000000e+00
2.834999999999999964e+00,6.209999999999999964e+00,-7.552999999999999818e-03,0.000000000000000000e+00
2.960999999999999854e+00,6.209999999999999964e+00,-7.532999999999999766e-03,0.000000000000000000e+00
3.177000000000000046e+00,6.211999999999999744e+00,-6.733000000000000269e-03,0.000000000000000000e+00
3.299999999999999822e+00,6.213000000000000078e+00,-6.264999999999999736e-03,0.000000000000000000e+00
3.422000000000000153e+00,6.214000000000000412e+00,-5.712000000000000063e-03,0.000000000000000000e+00
3.544000000000000039e+00,6.214999999999999858e+00,-5.708999999999999665e-03,0.000000000000000000e+00
3.668000000000000149e+00,6.214999999999999858e+00,-5.673000000000000091e-03,0.000000000000000000e+00
3.813000000000000167e+00,6.214999999999999858e+00,-5.714000000000000329e-03,0.000000000000000000e+00
3.935999999999999943e+00,6.216000000000000192e+00,-5.727000000000000320e-03,0.000000000000000000e+00
4.059000000000000163e+00,6.216999999999999638e+00,-5.719000000000000125e-03,0.000000000000000000e+00
4.277999999999999581e+00,6.217999999999999972e+00,-5.666000000000000029e-03,0.000000000000000000e+00
4.402000000000000135e+00,6.217999999999999972e+00,-5.701000000000000338e-03,0.000000000000000000e+00
4.522999999999999687e+00,6.219000000000000306e+00,-5.666000000000000029e-03,0.000000000000000000e+00
4.645999999999999908e+00,6.216999999999999638e+00,-5.255000000000000122e-03,0.000000000000000000e+00
4.769999999999999574e+00,6.216000000000000192e+00,-4.852000000000000410e-03,0.000000000000000000e+00
5.102000000000000313e+00,6.214999999999999858e+00,-5.447999999999999718e-03,0.000000000000000000e+00
5.222999999999999865e+00,6.216999999999999638e+00,-5.683999999999999816e-03,0.000000000000000000e+00
5.567000000000000171e+00,6.221000000000000085e+00,-7.518999999999999642e-03,0.000000000000000000e+00
5.690999999999999837e+00,6.221000000000000085e+00,-7.552999999999999818e-03,0.000000000000000000e+00
5.812000000000000277e+00,6.222000000000000419e+00,-8.009000000000000494e-03,0.000000000000000000e+00
6.014000000000000234e+00,6.224000000000000199e+00,-7.943999999999999673e-03,0.000000000000000000e+00
6.136000000000000121e+00,6.227000000000000313e+00,-7.907000000000000833e-03,0.000000000000000000e+00
6.259000000000000341e+00,6.227999999999999758e+00,-7.477000000000000139e-03,0.000000000000000000e+00
6.477999999999999758e+00,6.229000000000000092e+00,-7.110000000000000001e-03,0.000000000000000000e+00
6.599999999999999645e+00,6.230000000000000426e+00,-6.296000000000000381e-03,0.000000000000000000e+00
6.722000000000000419e+00,6.230999999999999872e+00,-5.700000000000000205e-03,0.000000000000000000e+00
6.844999999999999751e+00,6.230999999999999872e+00,-5.695999999999999674e-03,0.000000000000000000e+00
6.966999999999999638e+00,6.232000000000000206e+00,-5.657999999999999835e-03,0.000000000000000000e+00
7.115999999999999659e+00,6.233999999999999986e+00,-5.700000000000000205e-03,0.000000000000000000e+00
7.240000000000000213e+00,6.233999999999999986e+00,-5.740999999999999576e-03,0.000000000000000000e+00
7.363000000000000433e+00,6.233999999999999986e+00,-6.708999999999999686e-03,0.000000000000000000e+00
7.578999999999999737e+00,6.235000000000000320e+00,-8.850000000000000228e-03,0.000000000000000000e+00
7.700999999999999623e+00,6.235999999999999766e+00,-9.277999999999999789e-03,0.000000000000000000e+00
7.823000000000000398e+00,6.237000000000000099e+00,-9.296000000000000443e-03,0.000000000000000000e+00
7.945000000000000284e+00,6.237000000000000099e+00,-8.869000000000000147e-03,0.000000000000000000e+00
8.066000000000000725e+00,6.237000000000000099e+00,-8.866999999999999882e-03,0.000000000000000000e+00
8.215999999999999304e+00,6.235999999999999766e+00,-8.425999999999999462e-03,0.000000000000000000e+00
8.339999999999999858e+00,6.237000000000000099e+00,-8.458999999999999506e-03,0.000000000000000000e+00
8.461999999999999744e+00,6.237000000000000099e+00,-8.026000000000000148e-03,0.000000000000000000e+00
8.679999999999999716e+00,6.238999999999999879e+00,-7.556000000000000216e-03,0.000000000000000000e+00
8.801000000000000156e+00,6.240000000000000213e+00,-7.566999999999999942e-03,0.000000000000000000e+00
8.922000000000000597e+00,6.241999999999999993e+00,-7.562000000000000145e-03,0.000000000000000000e+00
9.044000000000000483e+00,6.240999999999999659e+00,-8.007000000000000228e-03,0.000000000000000000e+00
9.167999999999999261e+00,6.240999999999999659e+00,-8.730999999999999178e-03,0.000000000000000000e+00
9.317000000000000171e+00,6.240999999999999659e+00,-8.817000000000000184e-03,0.000000000000000000e+00
