Voltage(mV),Temp(K),Resistance(Ohm)
6.01,87,15.58E-9
5.97,88,54.03E-6
5.93,89,72.13E-6
5.89,90,72.13E-6
5.86,91,72.13E-6
5.83,92,93.18E-6
5.79,93,93.18E-6
5.75,94,116.35E-6
5.72,95,116.35E-6
5.68,96,140.43E-6
5.64,97,165.93E-6
5.60,98,165.93E-6
5.56,99,193.35E-6
5.52,100,222.07E-6
5.48,101,222.07E-6
5.44,102,252.26E-6
5.41,103,283.82E-6
5.37,104,316.61E-6
5.34,105,316.61E-6
5.30,106,389.38E-6
5.27,107,430.58E-6
5.23,108,476.33E-6
5.20,109,525.2E-6
5.16,110,577.64E-6
5.13,111,694.41E-6
5.09,112,824.17E-6
5.06,113,892.57E-6
5.02,114,1.04E-3
4.99,115,1.12E-3
4.95,116,1.3E-3
4.91,117,1.52E-3
4.88,118,1.76E-3
4.84,119,2.02E-3
4.81,120,2.35E-3
4.77,121,2.61E-3
4.74,122,2.82E-3
4.7,123,3.06E-3
4.67,124,3.33E-3
4.63,125,3.54E-3
4.6,126,3.73E-3
4.56,127,3.84E-3
4.53,128,3.88E-3
4.49,129,3.93E-3
4.46,130,3.97E-3
4.42,131,4.02E-3
4.39,132,4.05E-3
4.35,133,4.1E-3
4.32,134,4.13E-3
4.28,135,4.17E-3
4.25,136,4.2E-3
4.21,137,4.23E-3
4.18,138,4.26E-3
4.14,139,4.29E-3
4.11,140,4.31E-3
4.07,141,4.34E-3
4.04,142,4.36E-3
4,143,4.39E-3
3.97,144,4.42E-3
3.93,145,4.45E-3
3.9,146,4.47E-3
3.86,147,4.51E-3
3.83,148,4.52E-3
3.79,149,4.55E-3
3.76,150,4.58E-3
3.73,151,4.6E-3
3.69,152,4.62E-3
3.66,153,4.65E-3
3.63,154,4.67E-3
3.6,155,4.69E-3
3.56,156,4.72E-3
